Time_min,PAR_umolPPFDm-2s-1,Tair_C
1,0,22.4
2,0,22.4
3,0,22.3
4,0,22.3
5,0,22.2
6,0,22.2
7,0,22.2
8,0,22.1
9,0,22.1
10,0,22.1
11,0,22.1
12,0,22.1
13,0,22.1
14,0,22.1
15,0,22.1
16,0,22.1
17,0,22.1
18,0,22.1
19,0,22
20,0,22
21,0,22
22,0,22
23,0,22
24,0,21.9
25,0,21.9
26,0,21.9
27,0,21.9
28,0,21.9
29,0,21.9
30,0,22
31,0,22
32,0,22
33,0,22
34,0,22
35,0,22
36,0,21.9
37,0,21.9
38,0,21.9
39,0,21.9
40,0,21.9
41,0,21.8
42,0,21.8
43,0,21.8
44,0,21.7
45,0,21.7
46,0,21.6
47,0,21.6
48,0,21.5
49,0,21.5
50,0,21.5
51,0,21.6
52,0,21.7
53,0,21.7
54,0,21.8
55,0,21.9
56,0,21.9
57,0,21.9
58,0,21.9
59,0,21.9
60,0,21.9
61,0,21.9
62,0,21.9
63,0,21.9
64,0,21.9
65,0,21.9
66,0,21.9
67,0,21.9
68,0,21.9
69,0,22
70,0,22
71,0,22
72,0,22
73,0,22
74,0,22
75,0,22
76,0,22
77,0,22
78,0,22
79,0,21.9
80,0,21.9
81,0,21.9
82,0,21.9
83,0,21.8
84,0,21.8
85,0,21.8
86,0,21.8
87,0,21.8
88,0,21.9
89,0,22
90,0,22
91,0,22
92,0,22
93,0,22
94,0,22.1
95,0,22.1
96,0,22.1
97,0,22.1
98,0,22.1
99,0,22.1
100,0,22.1
101,0,22.1
102,0,22.1
103,0,22.1
104,0,22
105,0,22
106,0,22
107,0,22
108,0,22
109,0,21.9
110,0,21.9
111,0,21.9
112,0,21.9
113,0,21.9
114,0,21.9
115,0,21.9
116,0,21.9
117,0,21.9
118,0,21.9
119,0,21.8
120,0,21.8
121,0,21.8
122,0,21.8
123,0,21.7
124,0,21.7
125,0,21.7
126,0,21.6
127,0,21.6
128,0,21.6
129,0,21.6
130,0,21.5
131,0,21.5
132,0,21.5
133,0,21.4
134,0,21.4
135,0,21.4
136,0,21.4
137,0,21.4
138,0,21.4
139,0,21.4
140,0,21.3
141,0,21.3
142,0,21.3
143,0,21.3
144,0,21.2
145,0,21.2
146,0,21.2
147,0,21.2
148,0,21.2
149,0,21.1
150,0,21.1
151,0,21.1
152,0,21
153,0,21
154,0,20.9
155,0,20.9
156,0,20.9
157,0,20.9
158,0,20.9
159,0,20.8
160,0,20.8
161,0,20.8
162,0,20.7
163,0,20.7
164,0,20.7
165,0,20.6
166,0,20.6
167,0,20.6
168,0,20.5
169,0,20.5
170,0,20.5
171,0,20.4
172,0,20.4
173,0,20.3
174,0,20.3
175,0,20.2
176,0,20.2
177,0,20.2
178,0,20.2
179,0,20.1
180,0,20.1
181,0,20.1
182,0,20.1
183,0,20.1
184,0,20.1
185,0,20.1
186,0,20.2
187,0,20.2
188,0,20.3
189,0,20.3
190,0,20.3
191,0,20.4
192,0,20.4
193,0,20.4
194,0,20.5
195,0,20.6
196,0,20.6
197,0,20.7
198,0,20.7
199,0,20.8
200,0,20.8
201,0,20.8
202,0,20.8
203,0,20.8
204,0,20.9
205,0,20.9
206,0,20.9
207,0,20.9
208,0,20.9
209,0,20.9
210,0,20.9
211,0,20.9
212,0,21
213,0,21
214,0,21
215,0,21
216,0,21
217,0,21.1
218,0,21.1
219,0,21.1
220,0,21.2
221,0,21.2
222,0,21.2
223,0,21.2
224,0,21.2
225,0,21.2
226,0,21.2
227,0,21.2
228,0,21.2
229,0,21.2
230,0,21.2
231,0,21.2
232,0,21.2
233,0,21.2
234,0,21.2
235,0,21.2
236,0,21.2
237,0,21.2
238,0,21.2
239,0,21.2
240,0,21.2
241,0,21.2
242,0,21.1
243,0,21.1
244,0,21.1
245,0,21.1
246,0,21.1
247,0,21.1
248,0,21
249,0,21.1
250,0,21
251,0,21
252,0,21
253,0,21
254,0,21
255,0,21
256,0,21
257,0,21
258,0,20.9
259,0,20.9
260,0,20.9
261,0,20.9
262,0,20.9
263,0,20.8
264,0,20.8
265,0,20.8
266,0,20.8
267,0,20.7
268,0,20.7
269,0,20.7
270,0,20.7
271,0,20.6
272,0,20.6
273,0,20.6
274,0,20.6
275,0,20.6
276,0,20.5
277,0,20.5
278,0,20.5
279,0,20.5
280,0,20.5
281,0,20.4
282,0,20.4
283,0,20.4
284,0,20.3
285,0,20.3
286,0,20.3
287,0,20.2
288,0,20.2
289,0,20.2
290,0,20.1
291,0,20.1
292,0,20.1
293,0,20
294,0,20
295,0,20
296,0,19.9
297,0,19.9
298,0,19.9
299,0,19.9
300,0,19.8
301,2,19.8
302,3,19.8
303,3,19.8
304,5,19.7
305,6,19.8
306,6,19.8
307,8,19.8
308,11,19.8
309,13,19.8
310,13,19.8
311,13,19.8
312,15,19.8
313,18,19.8
314,19,19.7
315,19,19.7
316,22,19.7
317,26,19.7
318,27,19.7
319,31,19.7
320,32,19.7
321,34,19.7
322,35,19.7
323,37,19.7
324,40,19.7
325,42,19.7
326,46,19.7
327,48,19.7
328,53,19.7
329,55,19.7
330,61,19.7
331,64,19.7
332,67,19.8
333,71,19.8
334,73,19.8
335,77,19.9
336,80,19.9
337,85,20
338,88,20
339,93,20.1
340,98,20.1
341,101,20.2
342,106,20.2
343,111,20.3
344,115,20.3
345,119,20.4
346,124,20.4
347,128,20.4
348,133,20.5
349,138,20.5
350,143,20.6
351,149,20.7
352,155,20.7
353,161,20.8
354,167,20.8
355,172,20.9
356,178,21
357,183,21
358,188,21.1
359,194,21.1
360,198,21.2
361,202,21.2
362,206,21.3
363,211,21.3
364,216,21.4
365,221,21.4
366,230,21.4
367,237,21.5
368,241,21.5
369,247,21.6
370,254,21.6
371,262,21.6
372,268,21.7
373,277,21.7
374,283,21.7
375,291,21.8
376,299,21.8
377,292,21.8
378,126,21.9
379,140,21.9
380,138,21.8
381,93,21.8
382,124,21.7
383,308,21.7
384,340,21.7
385,361,21.7
386,366,21.8
387,371,21.9
388,379,21.9
389,381,22
390,387,22.1
391,394,22.2
392,402,22.2
393,407,22.3
394,413,22.3
395,419,22.4
396,425,22.4
397,429,22.5
398,436,22.6
399,443,22.6
400,451,22.7
401,457,22.7
402,462,22.8
403,471,22.9
404,478,22.9
405,486,23
406,492,23
407,498,23.1
408,505,23.1
409,512,23.2
410,520,23.2
411,526,23.3
412,531,23.3
413,539,23.5
414,547,23.5
415,554,23.6
416,562,23.6
417,567,23.6
418,574,23.6
419,580,23.7
420,586,23.7
421,595,23.7
422,602,23.8
423,610,23.8
424,618,23.8
425,625,23.8
426,630,23.8
427,639,23.8
428,646,23.8
429,653,23.9
430,659,24
431,664,24
432,671,24.1
433,679,24.1
434,685,24.1
435,690,24.1
436,702,24
437,709,24
438,715,24.1
439,726,24.1
440,734,24.2
441,741,24.3
442,697,24.3
443,756,24.3
444,775,24.4
445,792,24.4
446,791,24.4
447,790,24.3
448,794,24.3
449,798,24.4
450,799,24.4
451,809,24.5
452,818,24.5
453,819,24.5
454,836,24.5
455,849,24.6
456,858,24.7
457,857,24.7
458,865,24.7
459,771,24.6
460,886,24.6
461,567,24.6
462,857,24.5
463,800,24.5
464,886,24.5
465,911,24.5
466,742,24.5
467,909,24.5
468,690,24.5
469,973,24.5
470,585,24.5
471,877,24.5
472,916,24.4
473,1166,24.5
474,1235,24.7
475,1188,25
476,1135,25.2
477,1062,25.4
478,894,25.5
479,1078,25.5
480,760,25.5
481,859,25.4
482,619,25.3
483,1112,25.2
484,609,25.1
485,1230,25
486,1328,25
487,1254,25.2
488,853,25.3
489,904,25.4
490,1359,25.4
491,1365,25.6
492,1352,25.7
493,1152,25.8
494,959,26
495,745,26
496,645,25.8
497,986,25.5
498,1193,25.3
499,1171,25.4
500,1188,25.5
501,1181,25.6
502,1168,25.7
503,805,25.6
504,781,25.5
505,1005,25.5
506,1279,25.5
507,1253,25.6
508,1064,25.7
509,508,25.7
510,310,25.6
511,254,25.4
512,809,25.1
513,1275,25.1
514,1271,25.2
515,1228,25.4
516,1304,25.5
517,575,25.6
518,548,25.6
519,1157,25.4
520,1198,25.5
521,1310,25.6
522,1354,25.8
523,957,26
524,519,26
525,601,25.8
526,991,25.7
527,755,25.6
528,678,25.6
529,770,25.6
530,743,25.5
531,1033,25.5
532,1414,25.6
533,1277,25.9
534,1212,26.2
535,1017,26.3
536,1475,26.3
537,1035,26.2
538,1453,26.3
539,1351,26.3
540,1609,26.4
541,1536,26.5
542,1654,26.6
543,1199,26.7
544,781,26.8
545,1618,26.6
546,697,26.5
547,541,26.4
548,509,26.1
549,1492,25.9
550,1568,26
551,1580,26.2
552,1532,26.4
553,1508,26.5
554,1505,26.6
555,1513,26.7
556,1538,27
557,1249,27.1
558,714,27.2
559,413,27
560,570,26.6
561,1514,26.3
562,1345,26.3
563,1458,26.5
564,717,26.6
565,1645,26.6
566,1519,26.7
567,984,26.9
568,1630,27
569,1464,27.2
570,1538,27.3
571,1328,27.4
572,1628,27.3
573,1309,27.3
574,1658,27.3
575,1676,27.2
576,1710,27.3
577,1436,27.5
578,1343,27.5
579,1553,27.7
580,1710,27.7
581,1718,27.7
582,1741,27.7
583,1785,27.8
584,1848,27.9
585,1907,28
586,1879,28.1
587,1901,28.4
588,1854,28.6
589,1810,28.7
590,1514,28.6
591,1829,28.4
592,1833,28.2
593,1771,28.4
594,1760,28.5
595,1766,28.4
596,1450,28.4
597,984,28.2
598,1676,28
599,1171,28
600,1631,27.9
601,1534,27.9
602,1934,28.2
603,1861,28.4
604,1863,28.6
605,548,28.8
606,1492,28.7
607,1398,28.4
608,853,28.3
609,1986,28.3
610,1953,28.5
611,1991,28.7
612,1995,29
613,1869,29.2
614,1986,29.4
615,1984,29.5
616,1210,29.5
617,699,29.3
618,1710,28.9
619,1593,28.7
620,891,28.6
621,680,28.6
622,663,28.4
623,756,28.2
624,876,28
625,671,27.9
626,674,27.8
627,1840,27.7
628,1802,27.9
629,934,28.2
630,825,28.2
631,1295,28.1
632,740,28.1
633,706,28.1
634,936,28.1
635,886,28.2
636,1290,28.3
637,1913,28.5
638,2116,28.6
639,1219,28.8
640,2122,29.1
641,1536,29.1
642,1829,29.1
643,2099,29.2
644,2059,29.4
645,2007,29.5
646,1947,29.6
647,1921,29.6
648,1938,29.6
649,1534,29.5
650,1104,29.4
651,1813,29.2
652,2083,29.3
653,1957,29.4
654,1601,29.7
655,1879,29.8
656,981,29.8
657,1917,29.8
658,2005,29.9
659,1957,30.2
660,1949,30.3
661,1965,30.3
662,1519,30.1
663,1756,29.9
664,1687,29.8
665,935,29.9
666,968,29.8
667,1677,29.7
668,978,29.7
669,1124,29.7
670,736,29.6
671,1752,29.5
672,2233,29.4
673,2032,29.6
674,2143,29.8
675,2129,29.8
676,2020,30
677,1389,30.2
678,815,30.2
679,1258,30
680,2106,29.8
681,2212,30
682,1271,30.3
683,730,30.3
684,829,30.1
685,1121,29.9
686,1100,29.8
687,1574,29.8
688,1679,29.9
689,757,30
690,637,30
691,625,29.8
692,1152,29.5
693,825,29.3
694,678,29.2
695,724,29.1
696,656,29.1
697,1287,29.2
698,1153,29.4
699,1760,29.5
700,1028,29.7
701,748,29.8
702,1810,29.7
703,761,29.6
704,1963,29.8
705,2248,30.1
706,1616,30.4
707,2170,30.4
708,2200,30.6
709,2189,30.9
710,2150,31.1
711,1025,31.1
712,1453,30.9
713,917,30.6
714,680,30.4
715,1491,30.3
716,1729,30.4
717,2248,30.6
718,1352,30.7
